well,row,column,sample description,,barcode1,barcode2,initial DNA concentration,initial DNA volume,library concentration,library volume,notes
1,A,1,9,S4#A01,701,521,,,,,
2,A,2,190,S4#A02,702,521,,,,,
3,A,3,12,S4#A03,703,521,,,,,
4,A,4,244,S4#A04,704,521,,,,,
5,A,5,49,S4#A05,705,521,,,,,
6,A,6,210,S4#A06,706,521,,,,,
7,A,7,6,S4#A07,707,521,,,,,
8,A,8,221,S4#A08,708,521,,,,,
9,A,9,237,S4#A09,709,521,,,,,
10,A,10,76,S4#A10,710,521,,,,,
11,A,11,34,S4#A11,711,521,,,,,
12,A,12,42,S4#A12,712,521,,,,,
13,B,1,165,S4#B01,701,522,,,,,
14,B,2,22,S4#B02,702,522,,,,,
15,B,3,99,S4#B03,703,522,,,,,
16,B,4,70,S4#B04,704,522,,,,,
17,B,5,152,S4#B05,705,522,,,,,
18,B,6,47,S4#B06,706,522,,,,,
19,B,7,213,S4#B07,707,522,,,,,
20,B,8,48,S4#B08,708,522,,,,,
21,B,9,11,S4#B09,709,522,,,,,
22,B,10,220,S4#B10,710,522,,,,,
23,B,11,155,S4#B11,711,522,,,,,
24,B,12,67,S4#B12,712,522,,,,,
25,C,1,244,S4#C01,701,523,,,,,
26,C,2,40,S4#C02,702,523,,,,,
27,C,3,127,S4#C03,703,523,,,,,
28,C,4,144,S4#C04,704,523,,,,,
29,C,5,86,S4#C05,705,523,,,,,
30,C,6,203,S4#C06,706,523,,,,,
31,C,7,185,S4#C07,707,523,,,,,
32,C,8,37,S4#C08,708,523,,,,,
33,C,9,75,S4#C09,709,523,,,,,
34,C,10,189,S4#C10,710,523,,,,,
35,C,11,174,S4#C11,711,523,,,,,
36,C,12,77,S4#C12,712,523,,,,,
37,D,1,188,S4#D01,701,524,,,,,
38,D,2,177,S4#D02,702,524,,,,,
39,D,3,132,S4#D03,703,524,,,,,
40,D,4,212,S4#D04,704,524,,,,,
41,D,5,85,S4#D05,705,524,,,,,
42,D,6,135,S4#D06,706,524,,,,,
43,D,7,170,S4#D07,707,524,,,,,
44,D,8,201,S4#D08,708,524,,,,,
45,D,9,65,S4#D09,709,524,,,,,
46,D,10,137,S4#D10,710,524,,,,,
47,D,11,19,S4#D11,711,524,,,,,
48,D,12,231,S4#D12,712,524,,,,,
49,E,1,16,S4#E01,701,525,,,,,
50,E,2,215,S4#E02,702,525,,,,,
51,E,3,121,S4#E03,703,525,,,,,
52,E,4,45,S4#E04,704,525,,,,,
53,E,5,38,S4#E05,705,525,,,,,
54,E,6,190,S4#E06,706,525,,,,,
55,E,7,172,S4#E07,707,525,,,,,
56,E,8,120,S4#E08,708,525,,,,,
57,E,9,164,S4#E09,709,525,,,,,
58,E,10,58,S4#E10,710,525,,,,,
59,E,11,73,S4#E11,711,525,,,,,
60,E,12,106,S4#E12,712,525,,,,,
61,F,1,72,S4#F01,701,526,,,,,
62,F,2,208,S4#F02,702,526,,,,,
63,F,3,205,S4#F03,703,526,,,,,
64,F,4,52,S4#F04,704,526,,,,,
65,F,5,10,S4#F05,705,526,,,,,
66,F,6,81,S4#F06,706,526,,,,,
67,F,7,78,S4#F07,707,526,,,,,
68,F,8,8,S4#F08,708,526,,,,,
69,F,9,28,S4#F09,709,526,,,,,
70,F,10,24,S4#F10,710,526,,,,,
71,F,11,102,S4#F11,711,526,,,,,
72,F,12,124,S4#F12,712,526,,,,,
73,G,1,128,S4#G01,701,527,,,,,
74,G,2,53,S4#G02,702,527,,,,,
75,G,3,39,S4#G03,703,527,,,,,
76,G,4,97,S4#G04,704,527,,,,,
77,G,5,147,S4#G05,705,527,,,,,
78,G,6,159,S4#G06,706,527,,,,,
79,G,7,168,S4#G07,707,527,,,,,
80,G,8,156,S4#G08,708,527,,,,,
81,G,9,232,S4#G09,709,527,,,,,
82,G,10,138,S4#G10,710,527,,,,,
83,G,11,88,S4#G11,711,527,,,,,
84,G,12,5,S4#G12,712,527,,,,,
85,H,1,222,S4#H01,701,528,,,,,
86,H,2,83,S4#H02,702,528,,,,,
87,H,3,69,S4#H03,703,528,,,,,
88,H,4,116,S4#H04,704,528,,,,,
89,H,5,3,S4#H05,705,528,,,,,
90,H,6,35,S4#H06,706,528,,,,,
91,H,7,27,S4#H07,707,528,,,,,
92,H,8,80,S4#H08,708,528,,,,,
93,H,9,col-0_1,S4#H09,709,528,,,,,
94,H,10,col-0_2,S4#H10,710,528,,,,,
95,H,11,pat_1,S4#H11,711,528,,,,,
96,H,12,pat_0,S4#H12,712,528,,,,,
