gt.name,F6.name
S3#A01,ColPat_216
S3#A02,ColPat_61
S3#A03,ColPat_228
S3#A04,ColPat_54
S3#A05,ColPat_49
S3#A06,ColPat_96
S3#A07,ColPat_206
S3#A08,ColPat_202
S3#A09,ColPat_136
S3#A10,ColPat_13
S3#A11,ColPat_110
S3#A12,ColPat_56
S3#B01,ColPat_129
S3#B02,ColPat_74
S3#B03,ColPat_41
S3#B04,ColPat_126
S3#B05,ColPat_176
S3#B06,ColPat_161
S3#B07,ColPat_4
S3#B08,ColPat_50
S3#B09,ColPat_180
S3#B10,ColPat_153
S3#B11,ColPat_32
S3#B12,ColPat_162
S3#C01,ColPat_122
S3#C02,ColPat_217
S3#C03,ColPat_160
S3#C04,ColPat_239
S3#C05,ColPat_173
S3#C06,ColPat_148
S3#C07,ColPat_33
S3#C08,ColPat_181
S3#C09,ColPat_182
S3#C10,ColPat_214
S3#C11,ColPat_167
S3#C12,ColPat_163
S3#D01,ColPat_2
S3#D02,ColPat_176
S3#D03,ColPat_200
S3#D04,ColPat_238
S3#D05,ColPat_55
S3#D06,ColPat_36
S3#D07,ColPat_31
S3#D08,ColPat_21
S3#D09,ColPat_20
S3#D10,ColPat_7
S3#D11,ColPat_93
S3#D12,ColPat_87
S3#E01,ColPat_71
S3#E02,ColPat_66
S3#E03,ColPat_57
S3#E04,ColPat_143
S3#E05,ColPat_139
S3#E06,ColPat_131
S3#E07,ColPat_114
S3#E08,ColPat_209
S3#E09,ColPat_207
S3#E10,ColPat_204
S3#E11,ColPat_187
S3#E12,ColPat_112
S3#F01,ColPat_161
S3#F02,ColPat_111
S3#F03,ColPat_108
S3#F04,ColPat_100
S3#F05,ColPat_155
S3#F06,ColPat_157
S3#F07,ColPat_158
S3#F08,ColPat_223
S3#F09,ColPat_229
S3#F10,ColPat_226
S3#F11,ColPat_224
S3#F12,ColPat_225
S3#G01,ColPat_2119
S3#G02,ColPat_218
S3#G03,ColPat_211
S3#G04,ColPat_230
S3#G05,ColPat_223
S3#G06,ColPat_234
S3#G07,ColPat_235
S3#G08,ColPat_236
S3#G09,ColPat_243
S3#G10,ColPat_242
S3#G11,ColPat_246
S3#G12,ColPat_14
S3#H01,ColPat_15
S3#H02,ColPat_17
S3#H03,ColPat_18
S3#H04,ColPat_23
S3#H05,ColPat_25
S3#H06,ColPat_26
S3#H07,ColPat_29
S3#H08,ColPat_30
S3#H09,ColPat_col-0_4
S3#H10,ColPat_pat_2
S3#H11,ColPat_pat_3
S3#H12,ColPat_pat_4
S4#A01,ColPat_9
S4#A02,ColPat_190
S4#A03,ColPat_12
S4#A04,ColPat_244
S4#A05,ColPat_49
S4#A06,ColPat_210
S4#A07,ColPat_6
S4#A08,ColPat_221
S4#A09,ColPat_237
S4#A10,ColPat_76
S4#A11,ColPat_34
S4#A12,ColPat_42
S4#B01,ColPat_165
S4#B02,ColPat_22
S4#B03,ColPat_99
S4#B04,ColPat_70
S4#B05,ColPat_152
S4#B06,ColPat_47
S4#B07,ColPat_213
S4#B08,ColPat_48
S4#B09,ColPat_11
S4#B10,ColPat_220
S4#B11,ColPat_155
S4#B12,ColPat_67
S4#C01,ColPat_244
S4#C02,ColPat_40
S4#C03,ColPat_127
S4#C04,ColPat_144
S4#C05,ColPat_86
S4#C06,ColPat_203
S4#C07,ColPat_185
S4#C08,ColPat_37
S4#C09,ColPat_75
S4#C10,ColPat_189
S4#C11,ColPat_174
S4#C12,ColPat_77
S4#D01,ColPat_188
S4#D02,ColPat_177
S4#D03,ColPat_132
S4#D04,ColPat_212
S4#D05,ColPat_85
S4#D06,ColPat_135
S4#D07,ColPat_170
S4#D08,ColPat_201
S4#D09,ColPat_65
S4#D10,ColPat_137
S4#D11,ColPat_19
S4#D12,ColPat_231
S4#E01,ColPat_16
S4#E02,ColPat_215
S4#E03,ColPat_121
S4#E04,ColPat_45
S4#E05,ColPat_38
S4#E06,ColPat_190
S4#E07,ColPat_172
S4#E08,ColPat_120
S4#E09,ColPat_164
S4#E10,ColPat_58
S4#E11,ColPat_73
S4#E12,ColPat_106
S4#F01,ColPat_72
S4#F02,ColPat_208
S4#F03,ColPat_205
S4#F04,ColPat_52
S4#F05,ColPat_10
S4#F06,ColPat_81
S4#F07,ColPat_78
S4#F08,ColPat_8
S4#F09,ColPat_28
S4#F10,ColPat_24
S4#F11,ColPat_102
S4#F12,ColPat_124
S4#G01,ColPat_128
S4#G02,ColPat_53
S4#G03,ColPat_39
S4#G04,ColPat_97
S4#G05,ColPat_147
S4#G06,ColPat_159
S4#G07,ColPat_168
S4#G08,ColPat_156
S4#G09,ColPat_232
S4#G10,ColPat_138
S4#G11,ColPat_88
S4#G12,ColPat_5
S4#H01,ColPat_222
S4#H02,ColPat_83
S4#H03,ColPat_69
S4#H04,ColPat_116
S4#H05,ColPat_3
S4#H06,ColPat_35
S4#H07,ColPat_27
S4#H08,ColPat_80
S4#H09,ColPat_col-0_1
S4#H10,ColPat_col-0_2
S4#H11,ColPat_pat_1
S4#H12,ColPat_pat_0
